Year,County,Waterbody,Town,Month,Number,Species,Size (Inches)
2018,Albany,Basic Creek,Westerlo,April,440,Brown Trout,7.9
2018,Albany,Catskill Creek,Rensselaerville,April,740,Brown Trout,9.2
2018,Albany,Catskill Creek,Rensselaerville,May,170,Brown Trout,9.2
2018,Albany,Hannacrois Creek,Coeymans,April,1040,Brown Trout,7.9
2018,Albany,Hannacrois Creek,Coeymans,April,700,Brown Trout,7.9
2018,Albany,Hannacrois Creek,Coeymans,April,130,Brown Trout,12.4
2018,Albany,Lisha Kill,Colonie,April,350,Brown Trout,8.5
2018,Albany,Onesquethaw Creek,New Scotland,April,1130,Brown Trout,7.9
2018,Albany,Onesquethaw Creek,New Scotland,April,100,Brown Trout,12.4
2018,Albany,Six Mile Waterworks,City of Albany,April,870,Rainbow Trout,0
2018,Albany,Six Mile Waterworks,City of Albany,April,870,Rainbow Trout,9.1
2018,Albany,Six Mile Waterworks,City of Albany,May,870,Rainbow Trout,9.2
2018,Albany,Thompsons Lake,Berne,May,520,Brown Trout,8.9
2018,Albany,Thompsons Lake,Berne,April,1740,Rainbow Trout,9.4
2018,Albany,Vly Creek,New Scotland,April,260,Brown Trout,7.8
2018,Allegany,Allen Lake,Allen,April,2800,Brook Trout,8.9
2018,Allegany,Allen Lake,Allen,May,2800,Brook Trout,10.4
2018,Allegany,Allen Lake,,October,150,Brook Trout,14.1
2018,Allegany,Allen Lake,Allen,April,500,Brown Trout,13.2
2018,Allegany,Allen Lake,,October,50,Rainbow Trout,27.5
2018,Allegany,Belmont Rod and Gun Club Pond,West Almond,April,100,Brook Trout,9
2018,Allegany,Black Creek,West Almond,April,1220,Brown Trout,9
2018,Allegany,California Hw Brook,Bolivar,April,440,Brown Trout,9
2018,Allegany,California Hw Brook,Bolivar,May,260,Brown Trout,8.9
2018,Allegany,Canacadea Creek,"Almond, Alfred",April,1090,Brown Trout,9
2018,Allegany,Canaseraga Creek,Burns,April,1650,Brown Trout,9
2018,Allegany,Canaseraga Creek,Burns,April,200,Brown Trout,13.5
2018,Allegany,Caneadea Creek,Rushford,April,1130,Brown Trout,9
2018,Allegany,Chenunda Creek,Willing,April,260,Brown Trout,9
2018,Allegany,Clarksville Town Pond,Clarksville,March,200,Brook Trout,9
2018,Allegany,Cryder Creek,Independence,April,1300,Brown Trout,9
2018,Allegany,Cryder Creek,Independence,April,200,Brown Trout,13.5
2018,Allegany,Cryder Creek,Independence,May,1300,Brown Trout,8.9
2018,Allegany,Dodge Creek,Clarksville,March,2200,Brook Trout,8.9
2018,Allegany,Dodge Creek,Clarksville,March,200,Brown Trout,12.9
2018,Allegany,Dodge Creek,Clarksville,May,1300,Brown Trout,9
2018,Allegany,"Dodge Creek, T17",Clarksville,March,350,Brook Trout,9
2018,Allegany,Dyke Creek,Andover,April,1480,Brown Trout,9
2018,Allegany,Dyke Creek,Andover,April,200,Brown Trout,13.5
2018,Allegany,Dyke Creek,Andover,May,1040,Brown Trout,8.9
2018,Allegany,Genesee River,Wellsville,April,650,Brown Trout,9
2018,Allegany,Genesee River,Amity,April,3180,Brown Trout,9
2018,Allegany,Genesee River,Wellsville,April,1300,Brown Trout,9
2018,Allegany,Genesee River,Wellsville,April,450,Brown Trout,13.5
2018,Allegany,Genesee River,Amity,April,350,Brown Trout,13.5
2018,Allegany,Genesee River,Amity,March,5520,Brown Trout,8.9
2018,Allegany,Genesee River,Wellsville,March,2180,Brown Trout,8.9
2018,Allegany,Genesee River,Wellsville,March,750,Brown Trout,12.9
2018,Allegany,Genesee River,Amity,March,750,Brown Trout,12.9
2018,Allegany,Genesee River,Wellsville,May,1130,Brown Trout,9
2018,Allegany,Genesee River,,May,600,Brown Trout,13.7
2018,Allegany,Genesee River,,October,300,Brown Trout,13.6
2018,Allegany,Genesee River,Wellsville,April,870,Rainbow Trout,9.3
2018,Allegany,Genesee River,Wellsville,March,2480,Rainbow Trout,8.7
2018,Allegany,Genesee River,,October,150,Rainbow Trout,14.1
2018,Allegany,Genesee River,,October,175,Rainbow Trout,21.3
2018,Allegany,Genesee River,,October,80,Rainbow Trout,27.5
2018,Allegany,Hunt Creek,Alma,April,220,Brown Trout,9
2018,Allegany,Little Genesee Creek,Bolivar,March,2200,Brook Trout,8.9
2018,Allegany,Little Genesee Creek,Bolivar,March,200,Brown Trout,12.9
2018,Allegany,Little Genesee Creek,Bolivar,May,1300,Brown Trout,8.9
2018,Allegany,Root Creek,Bolivar,April,870,Brown Trout,9
2018,Allegany,Rushford Camp Pond,New Hudson,May,100,Brook Trout,10.4
2018,Allegany,Rushford Camp Pond,New Hudson,May,100,Brook Trout,10.4
2018,Allegany,Rushford Lake,Caneadea,May,1570,Brown Trout,9
2018,Allegany,Rushford Lake,Caneadea,May,1570,Brown Trout,9.2
2018,Allegany,Rushford Lake,Caneadea,April,3310,Rainbow Trout,9.3
2018,Allegany,Vandermark Creek,"Scio, Ward",April,1040,Brown Trout,9
2018,Broome,Arctic Lake,Sanford,April,2170,Rainbow Trout,9.3
2018,Broome,Chenango Lake,Fenton,April,2610,Rainbow Trout,9.3
2018,Broome,Chenango Lake,Fenton,March,4440,Rainbow Trout,9
2018,Broome,Chenango Lake,Fenton,May,2610,Rainbow Trout,9.7
2018,Broome,Dudley Creek,Lisle,March,390,Brown Trout,8.7
2018,Broome,East Branch Nanticoke Creek,Maine,April,50,Brown Trout,13.2
2018,Broome,East Branch Nanticoke Creek,Maine,March,260,Brown Trout,8.7
2018,Broome,East Branch Nanticoke Creek,Maine,May,40,Brown Trout,9.4
2018,Broome,Finch Hollow Site 1 (Overbrook,Union,April,870,Rainbow Trout,9.3
2018,Broome,Greenwood Lake,Nanticoke,April,1740,Rainbow Trout,9.2
2018,Broome,Little Choconut 2e,Chenango,April,170,Rainbow Trout,9.3
2018,Broome,Nanticoke 7a,Maine,April,520,Rainbow Trout,9.3
2018,Broome,Nanticoke Creek,Union,April,290,Brown Trout,13.2
2018,Broome,Nanticoke Creek,Maine,April,260,Brown Trout,13.2
2018,Broome,Nanticoke Creek,Maine,March,1040,Brown Trout,8.7
2018,Broome,Nanticoke Creek,Union,March,1480,Brown Trout,8.7
2018,Broome,Nanticoke Creek,Maine,May,170,Brown Trout,9.4
2018,Broome,Nanticoke Creek,Union,May,170,Brown Trout,9.4
2018,Broome,Nanticoke Lake,Lisle,April,2000,Rainbow Trout,9.2
2018,Broome,Oquaga Creek,Sanford,April,740,Brown Trout,8.9
2018,Broome,Oquaga Creek,Sanford,April,1390,Brown Trout,8.9
2018,Broome,Oquaga Creek,Sanford,April,1390,Brown Trout,8.9
2018,Broome,Oquaga Creek,Sanford,April,170,Brown Trout,12.8
2018,Broome,Oquaga Creek,Sanford,April,80,Brown Trout,12.8
2018,Broome,Oquaga Creek,Sanford,April,170,Brown Trout,12.8
2018,Broome,Palmers Pond,Sanford,April,170,Rainbow Trout,9.3
2018,Broome,Patterson Pond (#1),Union,April,700,Rainbow Trout,9.3
2018,Cattaraugus,Allegheny Reservoir,Coldspring,April,180000,Sauger,0.4
2018,Cattaraugus,Allegheny Reservoir,Coldspring,June,1100,Sauger,1.8
2018,Cattaraugus,Allegheny Reservoir,Coldspring,May,70000,Sauger,0.4
2018,Cattaraugus,Allegheny River,Allegany,May,219300,Muskellunge,0.6
2018,Cattaraugus,Allegheny River,Portville,May,237700,Muskellunge,0.6
2018,Cattaraugus,Allegheny River,Allegany,April,180000,Sauger,0.4
2018,Cattaraugus,Bay State Brook,Red House,March,480,Brown Trout,9
2018,Cattaraugus,Beaver Meadow Creek,Ellicottville,March,350,Brown Trout,8.7
2018,Cattaraugus,Birch Run Pond #1,Allegany,April,200,Brook Trout,9.2
2018,Cattaraugus,Bone Run,South Valley,April,260,Brown Trout,9
2018,Cattaraugus,Bone Run,South Valley,March,260,Brown Trout,8.7
2018,Cattaraugus,Case Lake,Franklinville,April,1800,Brook Trout,9.2
2018,Cattaraugus,Case Lake,,October,50,Brook Trout,20.3
2018,Cattaraugus,Case Lake,Franklinville,April,1570,Brown Trout,9.2
2018,Cattaraugus,Case Lake,Franklinville,April,600,Brown Trout,13.2
2018,Cattaraugus,Case Lake,,October,150,Brown Trout,13.6
2018,Cattaraugus,Case Lake,,October,25,Brown Trout,20.7
2018,Cattaraugus,Case Lake,,October,55,Brown Trout,21.8
2018,Cattaraugus,Case Lake,,October,25,Rainbow Trout,27.5
